Customer Name,Customer_Address,Company Name,Claim Reason,Data confidentiality,Claim Amount,Category Premium,Premium Ratio,Claim Request output,BMI,Churn
Jessica Mitchell,"9311 Martinez Walk Suite 624,West Melissafort, PA 72118","Davila, English and Pope",Other,Very low,38,399,0.095238095,No,21,Yes
Joshua Hawkins,"13729 Zachary Greens,North Mollyshire, OH 86863",Davis-Bradford,Medical,High,1526,14390,0.106045865,No,26,No
Maria Carter,"282 Brad Bridge Apt. 952,Craigmouth, ME 06116","Murray, Bates and Holt",Medical,High,1636,14390,0.113690063,No,25,No
Nicole Nelson,"123 Dennis Crossing,North Christina, KS 30854",Compton-Oliver,Medical,High,1650,14390,0.11466296,No,28,No
Alexander Bailey,"5146 Griffith Falls Apt. 897,South Anthonyton, ID 17150",Williams-Jennings,Travel,Low,639,4794,0.133291615,No,27,No
Robert Kelly,"17768 Myers Lodge,Lake Thomas, AL 97095","Harris, Cooper and Roberts",Phone,Medium,253,1875,0.134933333,No,,Yes
Elizabeth Moore,"75412 Simmons Pass,Zimmermanberg, MD 18435",Patterson Inc,Other,Very low,49,399,0.122807018,No,27,No
Sergio Tyler,"602 Jones Orchard,Port Dennismouth, MD 26560",Smith Group,Medical,High,2063,,0.143363447,No,23,Yes
Isaac Allen,"2844 Walter Corners Apt. 136,Lopezton, OK 61441","Gray, Hanson and Hughes",,Low,724,4794,0.151022111,No,26,No
Christina Marshall,"2942 Mckinney Hills,Rodriguezside, RI 30819","Kim, Webster and Dunn",Medical,High,2253,14390,0.15656706,No,20,Yes
Kyle Chambers,"51668 Smith Overpass,Colemanshire, SC 79249","Parsons, Graves and Lewis",Other,Very low,27,399,0.067669173,No,21,Yes
Jennifer Douglas,"7200 David Mill Suite 582,Sheilaside, AL 09345","Ray, Oneal and Davis",Travel,Low,419,4794,0.087400918,No,19,Yes
David Singh,"9374 Carmen Divide Suite 610,Davismouth, NE 04003",Harris-Snyder,Travel,Low,733,4794,0.152899458,No,25,No
Stephanie Johnson,"USNS Perez,FPO AE 44822","Evans, Martin and Pineda",Medical,High,1922,14390,0.133564976,No,27,No
Cindy Stein,"4645 Amanda Junction Apt. 487,Port Danaborough, ME 03220",Lamb-Powell,Travel,Low,333,4794,0.069461827,No,20,Yes
Omar Perry,"64123 Ford Creek,North Stevenfurt, IN 21647",Shah PLC,Medical,High,1669,14390,0.115983322,No,20,Yes
Joseph Phillips,"467 Frank Heights Suite 429,Rodrigueztown, AR 29169",Young-Jensen,Other,Very low,2,399,0.005012531,Yes,28,No
Nancy Smith,"8363 Timothy Trace Suite 720,Meganport, AL 18326",Johnson PLC,Phone,Medium,254,1875,0.135466667,No,24,Yes
Amber Gilbert,"Unit 4548 Box 9786,DPO AP 55100","Smith, Morales and Warner",Medical,High,1506,14390,0.104656011,No,22,Yes
Marcus Carpenter,"3166 Kelly Causeway Apt. 759,North Tammy, MI 72872",Owens and Sons,Medical,High,1868,14390,0.12981237,No,18,Yes
Elizabeth Barton,"PSC 3454, Box 9552,APO AP 49508",Smith-Bradford,Medical,High,1975,14390,0.137248089,No,19,Yes
Deborah Williams,"Unit 9325 Box 5611,DPO AA 35968",Torres Group,Travel,Low,687,4794,0.14330413,No,22,Yes
Janet Dixon,"85198 Sanchez Tunnel,West Whitneyburgh, ME 91982",Phillips-Fischer,Travel,Low,893,4794,0.18627451,No,26,No
Alexis Flowers,"012 Ann Estate,Timothyfurt, NE 51970",Sandoval-Carter,Travel,Low,,4794,,,23,Yes
Peter Cruz,"6154 Garrett Trace Suite 751,Wattsshire, AR 48402",Holland-Smith,Other,Very low,40,399,0.100250627,No,24,Yes
Douglas Gutierrez,"04315 Moore Ports Apt. 698,Schaefertown, NJ 07508","Alvarez, Caldwell and Parker",Phone,Medium,263,1875,0.140266667,,22,Yes
Brenda Thomas,"8426 Julie Islands Suite 846,North Samantha, IN 65986",Parsons-Heath,Other,Very low,14,399,0.035087719,Yes,27,No
Cynthia Hall,"5173 Rachel Inlet Suite 993,Perrymouth, IN 68192","Irwin, Allen and Collins",Other,Very low,15,399,0.037593985,Yes,28,No
Michelle Gonzalez,"USS Mccall,FPO AE 08670",Torres Inc,Other,Very low,15,399,0.037593985,Yes,21,Yes
Denise Rodriguez,"0802 Shelby Lights,Lake James, WV 96185","Hoover, Gutierrez and Ramirez",Other,Very low,93,399,0.233082707,No,18,Yes
Olivia King,"PSC 2084, Box 5669,APO AP 67089",Martin and Sons,Phone,Medium,205,1875,0.109333333,No,18,Yes
Carolyn Cantrell,"846 Cook Extension Apt. 946,Angelaland, AZ 73467",Hughes Inc,Travel,Low,400,4794,,No,25,No
Jonathan Conway,"7612 Griffin Alley,New Williamshire, WA 48017","Olson, Davenport and Martinez",Travel,Low,791,4794,0.164997914,No,28,No
Martin Berger,"817 Elizabeth Plaza Apt. 887,North Logan, CT 57894","Price, Molina and Graves",Travel,Low,608,4794,0.126825198,No,27,No
Anita Ward,"PSC 1747, Box 4057,APO AP 19734",Tucker Inc,Other,Very low,79,399,0.197994987,No,26,No
Timothy Strong,"958 Orr Motorway Suite 593,Lake Leslieburgh, WA 92159",Rangel Ltd,Phone,Medium,236,1875,0.125866667,No,18,Yes
Christopher Young,"2974 Irwin Ford Suite 592,Lake Lori, VA 90698",Smith and Sons,Medical,High,1511,14390,0.105003475,No,26,No
Julie Davis,"6637 Wyatt Stravenue,Reginaldfort, NE 16233","Brown, Hernandez and Smith",Travel,Low,370,4794,0.077179808,No,25,No
Joshua Cox,"0666 Lisa Plains Apt. 985,New Sarah, ME 64132",Diaz-Harmon,Other,Very low,37,399,0.09273183,No,27,No
Frank Hendricks,"637 Emily Mall Suite 707,New Johnton, AL 70600","Manning, Woods and Lang",Medical,High,1414,14390,0.098262682,No,21,Yes
Kenneth Travis,"825 Johnson Gardens,Staceyton, OR 38101","Johnson, Stewart and Rodriguez",Medical,High,1438,14390,0.099930507,No,27,No
Jacob Williams,"8069 Vasquez Vista,Billychester, MT 02947","King, Parker and Gates",Other,Very low,85,399,0.213032581,No,20,Yes
Heather Weaver,"303 Ralph Freeway,Ginashire, SC 37475","Simmons, Smith and Brown",Phone,Medium,,,0.121066667,No,25,No
Emily Mosley,"75984 Timothy Hollow Suite 021,Anthonyhaven, VA 18237",Brown and Sons,Medical,High,2285,14390,0.158790827,No,23,Yes
Sarah Thomas,"539 Fischer Walk,Brockland, VA 05249",Jackson-Garcia,Medical,High,1592,14390,0.110632384,No,27,No
Tiffany Wolf,"39939 Dwayne Grove Suite 042,West Michaelton, MO 04960",Wise-Pope,Travel,Low,850,4794,0.177304965,No,19,Yes
Latasha Grant PhD,"7500 Heather Heights Suite 285,East Linda, AK 87802",Webster and Sons,Phone,Medium,204,1875,0.1088,No,20,Yes
Nicholas Clark,"PSC 1865, Box 3733,APO AE 08643","Washington, Clark and Wilson",Medical,High,1758,14390,0.122168172,No,23,Yes
Steven Hernandez,"6151 Tammy Street,West Brianton, OR 02311",Newton Inc,Medical,High,2221,14390,0.154343294,No,24,Yes
Valerie Johnson,"6761 Tran Trail,Whiteville, CT 46265",Wells and Sons,Medical,High,2027,14390,0.14086171,No,23,Yes
Corey Harrington,"Unit 7663 Box 4204,DPO AA 16871",Hernandez-Stark,Medical,High,2228,14390,0.154829743,No,21,Yes
Kathy Moore,"39331 Cook Point,Hawkinsburgh, FL 68497","Dorsey, Johnson and Dyer",Phone,Medium,207,1875,0.1104,No,23,Yes
Todd Bailey,"2278 Tyler Club,Howardside, WV 52207","Gonzalez, Mitchell and Thomas",Medical,High,1879,14390,0.130576789,No,18,Yes
Larry Thomas,"Unit 2628 Box 6084,DPO AP 22391",Owens-Johnson,Phone,Medium,201,1875,0.1072,No,18,Yes
Bernard White,"USS Rogers,FPO AE 81843",Garcia Inc,Medical,High,1967,14390,0.136692147,No,20,Yes
Matthew Thomas,"8839 Bradshaw Path,Lake Jamesborough, MA 77379","Ferguson, Ramos and Reynolds",Travel,Low,834,4794,0.173967459,No,26,No
Robert Nelson DVM,"86355 Zimmerman Mountain,Port Susanport, UT 64380",Coleman Group,Travel,Low,600,4794,0.125156446,No,26,No
Mary Ross,"2334 Davidson Green Suite 046,Fergusonton, IL 67480",Gonzalez-Brooks,Phone,Medium,230,1875,0.122666667,No,21,Yes
Gabrielle Fisher,"80884 Hart Rapid Apt. 504,Howeview, CT 82692",Meyer-Williams,Other,Very low,65,399,,No,28,No
Jeffrey Davies,"10592 Brandon Fields,Port Helen, NH 21473",Fitzgerald-Jones,Medical,High,1321,14390,0.091799861,No,26,No
Christopher Smith,"6770 Anderson Courts,South Samuel, MA 03824",Yang Group,Medical,High,1795,14390,0.124739402,No,21,Yes
Bradley Thomas,"9987 Peterson Corners,Howellstad, CA 00675","Morrow, Marshall and Patel",Medical,High,1571,14390,0.109173037,No,21,Yes
Abigail Gallagher,"464 Michelle Gateway,Schwartzfort, SD 61903",Stewart-Gay,Medical,High,2275,14390,0.1580959,No,20,Yes
David Keller,"108 Natalie Wall,North Kristen, PA 62352",Wong-Allison,Medical,High,1479,14390,0.102779708,No,22,Yes
Amanda Edwards,"8924 Jones Mills Suite 160,New Danielborough, NV 10388",Alexander-Green,Medical,High,1507,14390,0.104725504,No,25,No
Chris Evans,"36617 Travis Track,Parkermouth, MA 39586",Hanson-Garcia,,Very low,44,399,0.110275689,No,27,No
Brian Chen,"298 Brent Island Suite 535,East Krystal, AR 98436",Thompson PLC,Phone,Medium,239,,0.127466667,No,21,Yes
Alyssa Schneider,"3749 Scott Mountain Apt. 346,Port Vincent, WA 64242",Phillips and Sons,Phone,Medium,225,1875,0.12,No,25,No
Bryan Holder,"9402 Hernandez Junctions Suite 860,Travisstad, MA 36845",Stokes-Dennis,Medical,High,1363,14390,0.094718555,No,19,Yes
Mr. Mark Gregory,"05239 Claire Flat Apt. 688,Jefferyland, WY 03770",Martinez PLC,Medical,,1731,14390,0.120291869,No,28,No
Austin Wheeler,"USNS Davis,FPO AA 92326",Moore Inc,Medical,High,2079,14390,0.14447533,No,20,Yes
Denise Jenkins,"077 Kurt Shoal Apt. 690,South Timothyshire, NE 49982",Harris-Fields,Phone,Medium,202,1875,0.107733333,No,26,No
Larry Jackson,"71476 Jackson Brooks Apt. 014,Lake Alexandraside, IA 52854","Wagner, Young and Brennan",Phone,Medium,268,1875,0.142933333,No,26,No
Paul Castro,"096 Jessica Knolls Suite 769,Angelahaven, WY 67077",Avery-Lee,Medical,High,2135,14390,0.148366921,No,20,Yes
Angela Yu,"452 Harrell Ferry Apt. 179,Beanland, SD 34507",Wilson LLC,Phone,Medium,233,1875,0.124266667,No,18,Yes
Debra Campbell,"18848 Benjamin Port Suite 185,Millershire, GA 42223","Payne, Doyle and Woods",Travel,Low,544,4794,0.113475177,No,20,Yes
Matthew Norton,"USCGC Gallagher,FPO AE 44510",Smith and Sons,Medical,High,2097,14390,0.145726199,No,28,No
Bianca Jimenez,"622 Robert Village Apt. 827,New Brandyhaven, VT 58471",Barr-Lopez,Medical,High,1527,14390,0.106115358,No,20,Yes
Sheila Duarte,"45049 Christopher Ridges Suite 013,Proctorbury, DE 78889",Hopkins Group,Medical,High,1875,14390,0.130298819,No,25,No
Brandi Ward,"Unit 1469 Box 3743,DPO AA 34735",Wang PLC,Medical,High,2041,14390,0.141834607,No,,Yes
Christopher Miller,"0725 Miranda Vista Suite 288,Flemingberg, SD 17746","Keller, Kelley and Prince",Medical,High,2128,14390,0.147880473,No,,Yes
Tom Thomas,"PSC 7781, Box 9633,APO AA 38469",Rodriguez-Cole,Medical,High,1645,14390,,No,,No
Arthur Miranda,"439 Bolton Run,Davidfort, AZ 11417",Watson-Pittman,Phone,Medium,217,1875,,No,,Yes
Audrey Gray,"25385 Nancy Junctions,Blackwellview, MN 50313",Franklin-Nelson,Medical,High,1566,14390,0.108825573,No,27,No
David Smith,"17261 William Light Suite 016,Harperview, CA 23916",Ross Ltd,Travel,Low,821,4794,0.171255736,No,22,Yes
Kevin Lester,"73092 Victoria Trafficway,Jennafurt, IA 61733",Peterson-Turner,Travel,Low,754,4794,0.157279933,No,20,Yes
Anne Campbell,"520 Bailey Stream Suite 323,West Timothyfort, AR 03624",Johnson LLC,Travel,Low,773,4794,0.161243221,No,19,Yes
Wesley Owens,"70902 Ewing Mountain Apt. 891,South Gabrielle, LA 12666","Pitts, Marquez and Jones",Medical,High,1400,14390,0.097289785,No,18,Yes
Heidi Garcia,"8751 Justin Extensions,Tammyberg, MA 32760",Davis-Lowe,Medical,High,1917,14390,0.133217512,No,22,Yes
Rebecca Davis,"476 Young Locks,Rogerbury, AK 26966",Mcneil-Wiggins,,High,1385,14390,0.096247394,No,19,Yes
Manuel Wright,"9997 Emily Expressway Suite 132,New Lorettahaven, AL 22657",Brady-Martin,Medical,High,1340,14390,0.093120222,No,24,Yes
Robert Wright,"592 Michael Ford Apt. 211,Port Kevinbury, TN 97670",Moss-Rose,Travel,Low,625,4794,0.130371297,No,28,No
Andrew Brown,"6330 Brenda Greens,Bellfort, OR 15136",Swanson-Velazquez,Medical,High,1610,14390,0.111883252,No,20,Yes
Kimberly Holmes,"PSC 3813, Box 4511,APO AP 93803",Harper-Torres,Travel,,463,4794,0.096579057,No,23,Yes
Julie Alvarez,"21513 Mary Lakes Suite 087,Scottshire, WA 32893","Griffith, Cook and Cobb",Travel,Low,446,4794,0.093032958,No,18,Yes
David Williams,"912 Rose Road Apt. 163,North Sarashire, WY 68029","Lee, Campbell and Garcia",Other,Very low,86,399,0.215538847,No,18,Yes
Joseph Mcguire,"7066 Jessica Falls,Port Paulmouth, WA 08695",Orr-Gonzalez,Other,Very low,72,399,0.180451128,No,21,Yes
Nancy Velez,"6794 Jason View Apt. 645,East Anthonyville, RI 01887","Williams, Garcia and Ramos",Medical,High,2264,14390,0.15733148,No,24,Yes
Eric Jones,"762 Austin Bridge,Cindyland, LA 37505","Shaffer, Gibson and Strong",Medical,High,2161,14390,0.150173732,No,26,No
Shannon Kelley,"28948 Martinez Fall,East Jonathanview, MO 63647",Deleon-Hess,Medical,High,1419,14390,0.098610146,,18,Yes
Susan Francis,"980 Morgan Estates,East Maria, MN 83399",Carr-Wilkinson,Other,Very low,51,399,0.127819549,No,22,Yes
Dakota Simmons,"74085 Castro Trace Suite 576,North Heidifort, WY 09254",Lloyd-Carlson,Medical,High,1915,14390,0.133078527,No,22,Yes
Natasha Mccullough,"84348 Ramirez Estates,Andrewton, WA 06772","Cain, Moore and Turner",Phone,Medium,223,1875,0.118933333,No,25,No
Karla Armstrong,"08753 Angela Plains,North Christopherstad, MT 31285",Johnson Ltd,Other,Very low,62,399,0.155388471,,20,
James Taylor,"28711 Wendy Meadows,North Teresaville, TX 02028",Mcdowell Ltd,Medical,High,1562,14390,0.108547603,No,18,Yes
Pamela Morse,"5727 Brad Hollow,Fieldsburgh, NY 06287","Duran, Lopez and Cooper",Medical,High,2011,14390,0.139749826,No,26,No
Veronica Marshall,"264 Linda Trail Apt. 295,North Deborahside, OH 45703",Walsh-Price,Travel,Low,845,4794,0.176261994,No,25,No
Brittany Jimenez,"1520 Hahn Burg,Jaredhaven, LA 32797",House and Sons,Medical,High,2255,14390,,No,20,Yes
William Bird III,"3942 Kenneth Burgs Suite 777,Collinsview, AZ 02514",Weber-Perez,Other,Very low,33,399,0.082706767,No,19,Yes
Heather Vasquez,"542 Nelson Crossing Suite 565,Newtonfurt, MT 82557",Davis Group,Other,Very low,85,399,0.213032581,No,19,Yes
Roger White,"55381 Samantha Haven Suite 649,Amandamouth, WY 34915",Wells PLC,Other,Very low,30,399,0.07518797,No,19,Yes
Theresa Williams,"2020 Zachary Common Apt. 827,Hayesstad, AZ 24536","Murray, Mcdonald and Pena",Medical,High,2166,14390,0.150521195,No,24,Yes
Angela Valdez,"357 Bates Burgs,Wongstad, MA 49594",Freeman Group,Medical,High,2298,14390,0.159694232,No,20,Yes
Jodi Thompson,"6573 Terri Summit Apt. 186,East Lynnberg, MD 19353",Holland Ltd,Medical,High,1398,14390,0.097150799,No,25,No
Linda Smith,"3759 Jeremy Course,South Melissamouth, MO 54765",Walker-Watson,Travel,Low,548,4794,0.114309554,,28,No
Brian Hernandez,"44965 David Locks Apt. 673,Scottfort, ID 12959","Wang, Dougherty and Holden",Other,Very low,95,399,0.238095238,No,26,No
Matthew Lewis,"0783 Lopez Run,Courtneyhaven, NC 22625",Hart-Meyer,,High,1335,14390,0.092772759,No,,No
John Taylor,"9585 Hunt Row,East Nathaniel, DC 77779",Brown-Bryan,Travel,Low,368,4794,0.07676262,,19,Yes
Rebekah Williams,"5320 Esparza Grove,New James, IN 67405",Davis-Smith,Medical,High,1596,14390,0.110910354,No,26,No
Jacob Fuentes,"2650 Dylan Tunnel,Paulburgh, TX 87173",Cochran Ltd,Other,Very low,74,399,0.185463659,No,26,No
David Schroeder,"47159 Snow Springs,Garnerchester, MN 29998",Good Ltd,Medical,High,2024,14390,0.140653231,No,22,Yes
Wendy Petty,"20924 Elizabeth Curve Apt. 862,Nicoleport, OK 02565",Fitzpatrick and Sons,Other,Very low,44,399,0.110275689,No,21,Yes
Brandy Ritter,"37302 Shelia Forks Apt. 503,Conleyborough, TX 07632","Reynolds, Perez and Reed",Medical,High,1899,14390,0.131966644,No,22,Yes
Marcus Ross,"0813 Rachael Fields,Smithstad, AZ 37150","Taylor, Zuniga and Mcdonald",Medical,High,2085,14390,0.144892286,No,24,Yes
Adam Thomas,"6668 Gross Ramp,Dylanhaven, IA 71095",Lawson-Hernandez,Medical,High,1694,14390,0.117720639,No,23,Yes
Kimberly Hughes,"81998 Erica Bridge,North Michael, SD 52197",Bean PLC,Medical,High,2165,14390,0.150451703,No,18,Yes
Susan Gates,"8844 Carrillo Mountains Suite 497,Port Stephen, MS 93035",Dougherty-Hudson,Phone,Medium,203,1875,0.108266667,No,25,No
Richard Mccarthy,"4172 Dawn Camp Suite 945,Lake Cynthia, ME 97571",Wu Ltd,Travel,Low,680,4794,0.141843972,No,26,No
Sandra Hampton,"4677 Alyssa Walks,Port Beth, IA 23365",Stafford-Martinez,Medical,High,2157,14390,0.149895761,No,20,Yes
Elizabeth Powell,"032 Parrish Camp,Grahamport, WA 18255",Martinez Group,Medical,High,1638,14390,0.113829048,No,20,Yes
Brandi Crosby,"2591 Tanya Extension Suite 865,Brandonville, MA 52263","Johnson, Anderson and Santos",Medical,High,1462,14390,0.101598332,No,23,Yes
Kathy Jensen,"Unit 1267 Box 3009,DPO AA 72627",Thomas-Vasquez,Medical,High,1916,14390,0.133148019,No,24,Yes
Alexandra Carter,"4140 Anthony Crest Suite 839,Dawnborough, ND 46927",Briggs-Walker,Medical,High,1859,14390,0.129186935,No,28,No
Heather Wells,"7898 Henderson Trail,Lake Sarahside, MT 00796",King-Jackson,Travel,Low,602,4794,,No,21,Yes
Peter Jones,"560 Miranda Mall Apt. 007,Ramostown, MD 11198",Dean Inc,Medical,High,1393,14390,0.096803336,No,22,Yes
John Nelson,"2050 Timothy Road Apt. 354,Alexiston, AL 85483","Kim, Copeland and Hurst",Medical,High,1616,14390,0.112300208,No,19,Yes
Melissa Kennedy,"6530 Thompson Shore,Williamsonmouth, CT 52138","Medina, Henry and Glover",Medical,High,2281,14390,0.158512856,No,23,Yes
Kristin Richmond,"110 Randy Grove,Olivialand, GA 38295",Garza LLC,,High,2266,14390,0.157470466,No,22,Yes
Kaitlin Espinoza,"42558 Tyler Way,South Josephmouth, NJ 53106",Lawson Ltd,Medical,,1607,14390,0.111674774,No,27,No
Dustin Thomas,"72592 Jason Curve,Veronicafurt, UT 93031",Smith PLC,Medical,High,1871,14390,0.130020848,No,27,No
Michele Simpson,"2350 Smith Grove Suite 503,Barberberg, VT 82486","Smith, Gomez and Holmes",Phone,Medium,213,1875,0.1136,No,26,No
Andrea Anderson,"080 Montoya Squares Suite 416,West Julia, MA 86837",Harris-Perez,Travel,Low,594,4794,0.123904881,No,26,No
Kathy Hill,"472 Alejandro Corners,Davidland, LA 19195","Porter, Mckenzie and Johnson",Medical,High,1887,14390,0.131132731,No,22,Yes
Anthony Conley,"67280 Alvarez Coves Suite 106,Katiefurt, MD 12754","Wood, Sullivan and Nelson",Other,Very low,40,399,0.100250627,No,19,
Jennifer Fields,"5319 Shelton Fork Apt. 277,Jackfort, CA 53047","Phillips, Watkins and Rodriguez",Other,,71,399,0.177944862,No,27,
Connie Hendrix,"19924 Makayla Crest,Lake Jonathanport, WY 05014",Vazquez-Hubbard,Medical,High,2041,14390,0.141834607,No,20,
Jamie Howell MD,"USNV Butler,FPO AE 80242",Davis and Sons,Medical,High,1492,14390,0.103683113,No,26,
Alicia Beard,"8088 Monique Crescent Suite 335,Diazfurt, NH 30415",Walsh-Schroeder,Other,Very low,13,399,0.032581454,Yes,24,
Leonard Lewis,"6790 Benjamin Mountains,Tinafurt, ND 77618","Chavez, Moore and Romero",Medical,High,1354,14390,0.09409312,No,25,
David Hendricks,"8567 Rice Flat,New Ashley, VT 87697",Bradley and Sons,Phone,Medium,213,1875,0.1136,No,20,
Michael Davis,"5225 Griffin Stravenue Apt. 906,Carlshire, IL 66889","Williams, Robinson and Miller",Medical,High,1608,14390,0.111744267,No,24,
Daniel Jensen,"8477 Cox Extension Apt. 006,Johnfort, IN 38646",Garza LLC,Medical,High,2179,14390,0.1514246,No,19,Yes
Samantha Miles,"Unit 1520 Box 7306,DPO AE 97374",Rogers PLC,Other,Very low,17,399,0.042606516,Yes,27,No
Stacy White,"Unit 6733 Box 5412,DPO AE 76988",Cohen-Chaney,Medical,High,1855,14390,0.128908965,No,26,No
Cody Meza,"45334 Jessica Landing,Kelleyborough, MO 33100",Santos-Carney,Other,Very low,74,399,0.185463659,No,26,No
Manuel Gonzales,"Unit 0300 Box 1242,DPO AP 24345",Pierce Group,Medical,High,1671,14390,0.116122307,No,22,Yes
Brandon Compton,"54919 Dylan Walks Apt. 001,Sotochester, DE 02967","Walker, Brown and Lawson",Medical,High,1413,14390,0.09819319,No,27,No
Justin Briggs,"735 Vanessa Divide,South Curtis, NV 02185","Perez, Brown and Lee",Medical,High,1706,14390,0.118554552,No,21,Yes
Mackenzie Riley,"6990 Johnson Street Suite 627,West Stacyton, MN 21175","Morales, Flores and Hernandez",,High,1652,14390,0.114801946,No,27,No
Robert Nunez,"5014 Kristina Camp Apt. 282,Kennedyside, NH 80445",Gomez-Miranda,Medical,High,1752,14390,0.121751216,No,18,Yes
Troy Johnson,"PSC 2651, Box 1927,APO AP 25897",Davenport-Bray,Travel,Low,849,4794,,No,28,No
Daniel Shelton,"05581 Smith Alley,North James, UT 59297","Smith, Moore and Mclaughlin",Other,Very low,75,399,0.187969925,No,19,Yes
John Armstrong,"471 Sellers Branch,Lake Stephanie, NM 28560",Riley-Kelley,Other,Very low,54,399,0.135338346,No,25,No
Joseph Luna,"9947 Michelle Point Apt. 532,Patricktown, CO 61940","Bryant, Brown and Peterson",Medical,High,1997,14390,0.138776928,No,24,Yes
Natalie Martinez,"00761 Cox Meadow Suite 860,Port Melissachester, AL 94988","Johnson, Brown and Marshall",Medical,High,1531,14390,0.106393329,No,25,No
Diana Guerra,"6327 Mitchell Crossing Apt. 358,Valeriestad, ID 24649",Arnold and Sons,Travel,Low,300,4794,0.062578223,No,23,Yes
Cody Ramirez,"13001 Jesus Causeway,Sarahfurt, UT 39717",Jackson Inc,Travel,Low,783,4794,0.163329161,No,26,No
Brandon Bautista,"91932 Barbara Plains,South Dustin, CO 39764","Rhodes, Lyons and Foster",Medical,High,2152,14390,0.149548297,No,25,No
Kristina Rodgers,"299 Chandler Squares,Michaeltown, ND 88768","Dyer, Lewis and Odonnell",Travel,Low,792,4794,0.165206508,No,25,No
Kimberly Gentry,"883 Laura Mountain Apt. 628,Port Tammymouth, VT 56350",Morrow and Sons,Medical,High,1395,14390,0.096942321,No,23,Yes
Christine Cobb,"2538 Scott Views,New Chadmouth, KY 24184",Benson PLC,Medical,High,1916,14390,0.133148019,No,23,Yes
Mark Mcfarland,"40621 Marquez Street,Jonesberg, MI 36351",Fox Ltd,Other,Very low,8,399,0.020050125,Yes,22,Yes
Todd Shelton,"1375 Robert Burgs Apt. 206,Lawrencechester, IL 82686","Knight, Beasley and Stevens",Medical,High,1405,14390,0.097637248,No,,
