id,name,fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,sulphates,alcohol,type,Taste,quality
33,Lambrusco,8.3,0.12,2.3,0.083,113,0.9966,0.66,9.8,Port,Earthy,5
34,Pedro Ximenez,6.9,0.12,10.7,0.073,83,0.9993,0.52,9.4,Rose,Earthy,6
35,Monastrell,5.2,0.25,1.8,0.103,50,0.9957,0.55,9.2,Red,Earthy,5
36,Fiano,7.8,0,5.5,0.086,18,0.9986,0.55,9.6,White,Sour,6
37,Prosecco,7.8,0.14,2.4,0.086,15,0.9975,0.6,10.8,Port,Balanced,6
38,Cava,8.1,0.28,2.1,0.066,30,0.9968,0.73,9.7,Port,Bitter,7
39,Madeira,5.7,0.09,1.5,0.172,19,0.994,0.48,9.8,Red,Sour,4
40,Port,7.3,0.36,5.9,0.074,87,0.9978,0.83,10.5,Red,Sour,5
41,Shiraz,7.3,0.36,5.9,0.074,87,0.9978,0.83,10.5,Rose,Sour,5
42,Glera,8.8,0.3,2.8,0.088,46,0.9976,0.51,9.3,Rose,Balanced,4
43,Macabeo,7.5,0.2,2.6,0.332,14,0.9968,0.9,10.5,White,Sweet,6
44,Moschofilero,8.1,0.22,2.2,0.069,23,0.9968,1.2,10.3,Rose,Balanced,5
45,Assyrtiko,6.8,0.02,1.8,0.05,11,0.9962,0.52,9.5,White,Bitter,5
46,Agiorgitiko,4.6,0.15,2.1,0.054,65,0.9934,0.56,13.1,Rose,Earthy,4
47,Aglianico,7.7,0.43,2.2,0.114,114,0.997,0.73,9.2,Rose,Balanced,5
48,Verdelho,8.7,0.52,1.6,0.113,37,0.9969,0.58,9.5,Red,Sweet,5
49,Vermentino,6.4,0.23,1.6,0.066,12,0.9958,0.56,9.2,Red,Sweet,5
50,Gewurztraminer,5.6,0.37,1.4,0.074,,0.9954,0.58,9.2,White,Balanced,5
51,Primitivo,8.8,0.26,1.7,0.074,23,0.9971,0.74,9.2,Port,Earthy,5
52,Blaufrankisch,6.6,0.04,2.2,0.069,15,0.9956,0.63,9.4,Red,Sour,6
53,Txakolina,6.6,0.04,2.1,0.068,14,0.9955,0.64,9.4,White,Bitter,6
54,Kerner,8.6,0.36,3,0.081,119,0.997,0.56,9.4,Rose,Balanced,5
55,Aligote,7.6,0.15,2.8,0.11,73,0.9955,0.63,10.2,Red,Sour,6
56,Baga,7.7,0.04,3.8,0.084,45,0.9978,0.53,9.5,Rose,Sour,5
57,Xinomavro,10.2,0.57,3.4,0.07,10,0.9971,0.63,9.6,Red,Earthy,5
58,Negroamaro,7.5,0.12,5.1,0.111,110,0.9983,0.77,9.4,Red,Bitter,5
59,Falanghina,7.8,0.18,2.3,0.076,54,0.9975,0.59,10,Rose,Balanced,5
60,Pecorino,7.3,0.31,2.4,0.074,46,0.9962,0.54,9.4,White,Sour,6
61,Loureiro,8.8,0.4,2.2,0.079,52,0.998,0.64,9.2,White,Sweet,5
62,Godello,7.7,0.49,1.8,0.115,112,0.9968,0.71,9.3,Rose,Sour,5
63,Trebbiano,7.5,0.16,1.9,0.085,35,0.9968,0.62,9.5,White,Earthy,7
64,Corvina,7,0.05,2,0.081,54,0.9966,0.57,9.8,White,Earthy,5
65,Cortese,7.2,0.05,4.65,,11,0.9962,0.39,10.9,Red,Sour,5
66,Barolo,7.2,0.05,4.65,0.086,11,0.9962,0.39,10.9,Port,Sour,5
67,Barbaresco,7.5,0.11,1.5,0.079,39,0.9968,0.58,9.6,Rose,Bitter,5
68,Valpolicella,6.6,0.07,1.6,0.076,15,0.9962,0.58,10.7,Rose,Sweet,5
69,Rosso di Montalcino,9.3,0.57,2,0.074,65,0.9969,0.79,10.7,Rose,Balanced,5
70,Franciacorta,8,0.05,1.9,0.074,19,0.9962,0.95,10.5,White,Sweet,6
71,Chianti,7.7,0.08,1.9,0.076,27,0.9967,0.54,9.5,,,6
72,Beaujolais,7.7,0.23,2.1,0.088,96,0.9962,0.48,9.5,Port,Earthy,5
73,Soave,7.7,0.22,1.9,0.084,94,0.9961,0.48,9.5,Red,Earthy,5
74,Orvieto,8.3,0.26,2.1,0.084,43,0.9976,0.53,9.2,Red,Sweet,4
75,Cote-Rotie,9.7,0.54,2.5,0.094,83,0.9984,0.82,9.6,Rose,Earthy,5
76,Chablis,8.8,0.64,2.2,0.093,42,0.9986,0.66,10.5,Red,Earthy,5
77,Pouilly-Fuisse,8.8,0.64,2.2,0.093,42,0.9986,0.66,10.5,Red,Sour,5
78,Saint-Emilion,6.8,0,2.4,0.104,30,0.9966,0.55,10.7,Red,,6
79,Pauillac,6.7,0.12,2,0.086,80,0.9958,0.52,10.1,Port,Sweet,5
80,Margaux,8.3,0.2,1.5,0.08,119,0.9972,1.12,9.1,White,Bitter,4
81,Graves,6.2,0.2,1.6,0.069,15,0.9958,0.56,9.2,Port,Earthy,5
82,Pomerol,7.8,0.7,1.9,0.464,67,0.9974,1.28,9.4,Port,Earthy,5
83,Sauternes,7.4,0.47,2,0.086,73,0.997,0.57,9.1,Red,Balanced,5
84,Champagne,7.3,0.26,1.8,0.401,51,0.9969,1.14,9.4,Port,Earthy,5
85,Vin Santo,6.3,0.48,1.8,0.069,61,0.9959,0.78,10.3,Rose,Sweet,6
86,Eiswein,6.9,0.15,2.2,0.076,40,0.9961,0.59,10.1,Port,Balanced,5
87,Tokaji,8.6,0.28,1.9,0.11,136,0.9972,1.95,9.9,Rose,Earthy,6
88,Chardonnay,7.7,0.26,1.9,0.062,31,0.9966,0.64,9.6,Rose,Sour,5
89,Cabernet Sauvignon,9.3,0.44,2.1,0.107,125,0.9978,1.22,9.5,Port,Sour,5
90,Merlot,7,0.08,1.8,0.076,24,0.9978,0.53,9,Red,Earthy,5
91,Pinot Noir,7.9,0.26,1.9,0.079,140,0.9964,0.54,9.5,Port,,5
92,Zinfandel,8.6,0.28,1.9,0.11,136,0.9972,1.95,9.9,Red,Balanced,6
93,Sauvignon Blanc,8.6,0.29,2,0.11,133,0.9972,1.98,9.8,White,Earthy,5
94,Syrah,7.7,0.26,1.9,0.062,31,0.9966,0.64,9.6,Red,Sour,5
95,Malbec,5,0.04,1.4,0.045,85,0.9938,0.48,10.5,White,Bitter,4
96,Riesling,4.7,0.17,2.3,0.058,106,0.9932,0.6,12.9,Red,Balanced,6
97,Grenache,6.8,0,3,0.102,23,0.9965,0.56,10.7,Red,Sweet,5
98,Sangiovese,7,0.25,2,0.07,22,0.9963,0.63,9.2,Rose,Earthy,5
99,Tempranillo,7.6,0.06,2.5,0.079,10,0.9967,0.56,9.8,Port,Sweet,5
100,Moscato,8.1,0.18,1.9,0.08,35,0.9972,0.59,9,Red,Balanced,6
101,Chenin Blanc,8.3,0.3,2.1,0.084,50,0.9972,0.61,10.2,White,Balanced,6
102,Pinot Grigio,7.8,0.3,1.9,0.075,22,0.9959,0.56,10.4,Rose,Sweet,6
103,Viognier,,0.18,1.9,0.08,35,0.9972,0.59,9,Red,Earthy,6
104,Nebbiolo,8.1,0.22,2.1,0.077,65,0.9967,0.51,9.2,White,,5
105,Barbera,7.2,0.24,2.2,0.07,36,0.996,0.48,9.4,Rose,Sweet,5
106,Gamay,8.1,0.22,2.1,0.077,65,0.9967,0.51,9.2,Port,Earthy,5
107,Torrontes,7.8,0.68,1.7,0.467,69,0.9973,1.31,9.3,Rose,Earthy,5
108,Gruner Veltliner,6.2,0.31,1.7,0.088,64,0.9969,0.79,9.3,Red,Sour,5
109,Albarino,8,0.53,2.5,0.091,80,0.9976,0.8,9.6,Port,Balanced,6
110,Carmenere,8.1,0.52,2,0.122,153,0.9969,0.69,9.3,Port,Bitter,5
111,Petit Verdot,7.8,0.19,1.8,0.104,47,0.9964,0.93,9.5,Red,Sweet,5
112,Marsanne,8.4,0.09,2.2,0.084,108,0.9964,0.66,9.8,Port,Sour,5
113,Roussanne,8.4,0.1,2.2,0.085,111,0.9964,0.66,9.8,Rose,Earthy,5
114,Tannat,10.1,0.44,2.3,0.08,46,0.9988,0.67,9.7,Port,Sour,6
115,Carignan,7.8,0.19,1.8,0.104,47,0.9964,0.93,9.5,Rose,Sour,5
116,Verdejo,9.4,0.31,2.2,0.09,62,0.9966,0.63,10.5,White,Sour,6
117,Semillon,8.3,0.28,1.9,0.077,40,0.9978,0.61,10,Port,Bitter,6
118,Dolcetto,7.8,0.12,2,0.082,28,0.997,0.5,9.4,White,Earthy,6
119,Touriga Nacional,8.8,0.04,2.2,0.119,56,0.9962,0.6,10.9,White,Balanced,6
120,Lambrusco,7,0.08,1.8,0.097,89,0.9959,0.54,9.2,White,Sweet,6
121,Pedro Ximenez,7.3,0.09,1.7,0.178,89,0.9962,0.57,9,Port,Sour,5
122,Monastrell,8.8,0.04,2.2,0.119,56,0.9962,0.6,10.9,Red,Sour,6
123,Fiano,7.3,0,2.5,0.075,13,0.998,0.52,9.2,Port,Earthy,5
124,Prosecco,8,0,2.6,0.08,34,0.9976,0.53,9.5,Port,Sweet,5
125,Cava,7.8,0.17,1.6,0.082,102,0.996,0.48,9.5,White,Sweet,5
126,Madeira,9,0.04,1.9,0.146,90,0.9984,0.7,9.4,Port,Bitter,5
127,Port,8.2,0,1.7,0.081,12,0.9964,0.49,10.9,Port,Bitter,5
128,Shiraz,8.1,0,1.8,0.082,12,0.9964,0.48,10.9,Rose,Sour,5
129,Glera,8,0.16,1.8,0.065,16,0.9962,0.92,10.5,Rose,Sweet,7
130,Macabeo,6.1,0.15,1.8,0.072,19,0.9955,0.57,9.4,Red,Earthy,5
131,Moschofilero,8,0.56,2,0.118,134,0.9968,0.66,9.4,White,Sour,5
132,Assyrtiko,5.6,0.09,2.3,0.049,99,0.9937,0.63,13,Rose,Bitter,5
133,Agiorgitiko,5.6,0.09,2.3,0.049,99,0.9937,0.63,13,Rose,Sour,5
134,Aglianico,6.6,0.01,1.5,0.06,26,0.9952,0.58,9.8,White,Bitter,6
135,Verdelho,7.9,0.05,2.2,0.084,29,0.9959,0.55,9.9,White,Sour,6
136,Vermentino,8.4,0.11,1.9,0.09,63,0.9965,0.82,9.6,Port,Balanced,5
137,Gewurztraminer,8.3,0.15,1.8,0.089,52,0.9968,0.77,9.5,White,Sour,5
138,Primitivo,7.2,0.36,2,0.081,45,0.9972,0.64,9.2,Red,Bitter,5
139,Blaufrankisch,7.8,0.19,2.1,0.081,105,0.9962,0.54,9.5,Port,Sour,5
140,Txakolina,7.8,0.19,2,0.081,108,0.9962,0.54,9.5,Red,Balanced,5
141,Kerner,8.4,0.11,1.9,0.09,63,0.9965,0.82,9.6,Rose,Sweet,5
142,Aligote,8.3,0.15,1.8,0.089,52,,0.77,9.5,Rose,Balanced,5
143,Baga,5.2,0,1.8,0.05,63,0.9916,0.79,14,White,Balanced,6
144,Xinomavro,6.3,0.08,1.7,0.066,20,0.9954,0.58,9.4,Rose,Sweet,5
145,Negroamaro,5.2,0,1.8,0.05,63,0.9916,0.79,14,White,Earthy,6
146,Falanghina,8.1,0.55,1.8,0.117,141,0.9968,0.62,9.4,White,Sweet,5
147,Pecorino,5.8,0.02,1.8,0.087,94,0.9944,0.52,10,Port,Earthy,5
148,Loureiro,7.6,0.26,1.6,0.236,88,0.9968,0.8,9.3,Red,Sour,5
149,Godello,6.9,0.1,2.3,0.074,30,0.9959,0.58,10.2,Rose,,6
150,Trebbiano,8.2,0.44,2.8,0.089,43,0.9975,0.61,10.5,White,Bitter,6
151,Corvina,7.3,0.47,2.1,0.077,11,0.9958,0.53,10.3,Rose,Balanced,6
152,Cortese,9.2,1,3.4,0.61,69,0.9996,2,9.4,Rose,Sweet,4
153,Barolo,7.5,0.03,1.8,0.095,99,0.995,0.54,10.1,Red,Bitter,5
154,Barbaresco,7.5,0.03,1.8,0.095,99,0.995,0.54,10.1,Red,Sweet,5
155,Valpolicella,7.1,0.42,5.5,0.07,129,0.9973,0.72,10.5,White,Sweet,5
156,Rosso di Montalcino,7.1,0.42,5.5,0.071,128,0.9973,0.71,10.5,Red,Sour,5
157,Franciacorta,7.1,0.42,5.5,0.07,129,0.9973,0.72,10.5,Rose,Sweet,5
158,Chianti,7.1,0.42,5.5,0.071,128,0.9973,0.71,10.5,Rose,Sweet,5
159,Beaujolais,7.1,0,2.2,0.073,22,0.9969,0.5,9.3,Port,Sweet,5
160,Soave,6.8,0.18,1.9,0.079,86,0.9968,0.57,9.3,Red,Balanced,6
161,Orvieto,7.6,0.03,2,0.09,20,0.9959,0.56,9.6,Port,Sweet,5
162,Cote-Rotie,7.6,0.02,1.3,0.072,20,0.9965,1.08,9.2,Port,Sour,4
163,Chablis,7.8,0.04,1.7,0.076,31,0.9964,0.56,10,White,Earthy,6
164,Pouilly-Fuisse,7.4,0.26,7.3,0.07,121,0.9982,0.49,9.4,Rose,Bitter,5
165,Saint-Emilion,7.3,0.26,7.2,0.07,121,0.9981,0.49,9.4,Port,Sweet,5
166,Pauillac,7.8,0.48,1.7,0.1,96,0.9961,0.62,9.5,White,Earthy,5
167,Margaux,6.8,0.1,2.1,0.085,101,0.9956,0.52,10.2,Rose,Earthy,5
168,Graves,7.3,0.03,1.6,0.072,42,0.9956,0.48,9,White,Sour,4
169,Pomerol,6.8,0.07,2.1,0.089,44,0.9953,0.55,10.4,White,Bitter,6
170,Sauternes,7.5,0.24,1.8,0.36,63,0.9964,1.59,9.5,Red,Sweet,5
171,Champagne,7.9,0.03,1.8,0.058,8,0.9972,0.33,9.1,Port,Bitter,4
172,Vin Santo,8,0.17,2,0.073,18,0.9972,0.61,9.2,White,Sour,6
173,Eiswein,8,0.17,2,0.073,18,0.9972,0.61,9.2,Rose,Sweet,6
174,Tokaji,7.4,0.05,1.9,0.068,42,0.9961,0.57,11.5,White,Balanced,6
175,Chardonnay,7.3,0.21,2,0.08,35,0.9961,0.47,9.5,Rose,Sour,5
176,Cabernet Sauvignon,6.9,0.04,1.5,0.085,49,0.9958,0.78,9.5,Port,Balanced,5
177,Merlot,7.3,0.21,2,0.08,35,0.9961,0.47,9.5,White,Earthy,5
178,Pinot Noir,7.5,0.42,2.3,0.087,38,0.9972,0.61,10.5,White,Bitter,6
179,Zinfandel,7,0,2.5,0.068,20,0.9969,0.56,9.6,Rose,Balanced,5
180,Sauvignon Blanc,8.8,0.14,2.4,0.067,42,0.9969,0.59,9.5,Rose,Earthy,5
181,Syrah,8.8,0.14,2.4,0.067,42,0.9969,0.59,9.5,Red,Earthy,5
182,Malbec,8.9,0.49,2,0.27,110,0.9972,1.02,9.3,Port,Sour,5
183,Riesling,7.2,0.02,2.5,0.076,42,0.9972,0.52,9.3,Port,Sour,5
184,Grenache,6.8,0.2,1.8,0.077,65,0.9971,0.58,9.3,Red,Bitter,5
185,Sangiovese,6.7,0.21,1.9,0.079,62,0.997,0.58,9.3,Port,Earthy,6
186,Tempranillo,8.9,0.57,2,0.111,85,0.9971,0.53,9.7,Rose,Bitter,5
187,Moscato,7.4,0.48,2,0.082,67,0.9972,0.55,9.2,Red,Sour,5
188,Chenin Blanc,7.7,0.1,2.6,0.084,26,0.9976,0.49,9.7,Rose,Balanced,5
189,Pinot Grigio,7.9,0.33,2,0.084,,0.9968,0.55,9.5,Red,Sweet,5
190,Viognier,7.9,0.32,1.9,0.082,144,0.9968,0.55,9.5,White,Sweet,5
191,Nebbiolo,8.2,0.35,2.9,0.077,127,0.9976,0.62,9.4,White,Sweet,5
192,Barbera,6.4,0.25,1.9,0.074,49,0.9974,0.62,9.8,Rose,Bitter,6
193,Gamay,6.8,0.12,3.8,0.099,126,0.9969,0.61,9.5,White,Sour,5
194,Torrontes,7.6,0.21,2.2,0.071,28,0.9964,0.55,9.7,Rose,Earthy,5
195,Gruner Veltliner,7.6,0.21,2.2,0.071,28,0.9964,0.55,9.7,Red,Balanced,5
196,Albarino,7.8,0.33,2,0.074,120,0.9968,0.54,9.4,White,Bitter,5
197,Carmenere,7.3,0.3,2.4,0.074,55,0.9968,0.59,10.2,Red,Earthy,5
198,Petit Verdot,11.5,0.6,2,0.067,27,0.9981,0.97,10.1,Port,Sour,6
199,Marsanne,5.4,0.08,1.2,0.046,93,0.9924,0.85,13,White,Balanced,7
200,Roussanne,6.9,0.06,2.1,0.061,31,0.9948,0.43,11.4,Red,Earthy,4
201,Tannat,9.6,0.47,1.4,0.056,24,0.99695,0.82,10.3,White,Earthy,7
202,Carignan,8.8,0.48,2.1,0.097,145,0.9975,1.03,9.3,Red,Earthy,5
203,Verdejo,6.8,0.11,1.5,0.075,49,0.99545,0.79,9.5,Port,Bitter,5
204,Semillon,7,0.35,1.6,0.088,39,0.9961,0.55,9.2,Rose,Sweet,5
205,Dolcetto,7,0.36,1.6,0.089,37,0.99615,0.56,9.2,White,Sweet,6
206,Touriga Nacional,12.8,0.74,2.6,0.095,28,0.9994,0.77,10.8,White,Earthy,7
207,Lambrusco,12.8,0.74,2.6,0.095,28,0.9994,0.77,10.8,Red,Balanced,7
208,Pedro Ximenez,7.8,0.31,1.8,0.069,120,0.99625,0.53,9.3,White,Balanced,5
209,Monastrell,7.8,0.28,2.7,0.1,95,0.9966,0.67,9.4,White,Sour,5
210,Fiano,11,0.58,2.1,0.054,19,0.998,0.88,10.5,Port,Sweet,7
211,Prosecco,9.7,0.6,2,0.039,19,0.99585,0.86,12.4,Red,Balanced,6
212,Cava,8,0.24,2.8,0.083,62,0.99685,0.56,10,Rose,Bitter,6
213,Madeira,11.6,0.64,2.1,0.059,15,0.998,0.67,10.2,Rose,Bitter,6
214,Port,8.2,0.26,2.2,0.06,65,0.9959,0.43,10.1,White,Bitter,5
215,Shiraz,7.8,0.08,2.4,0.092,41,0.9974,0.71,9.8,Rose,Sour,6
216,Glera,7,0.49,5.6,0.06,121,0.9974,0.76,10.5,Red,Bitter,5
217,Macabeo,8.7,0.16,2,0.101,49,0.9962,0.57,11,White,Bitter,5
218,Moschofilero,8.1,0.22,2.2,0.072,41,0.9967,0.55,9.1,White,Earthy,5
219,Assyrtiko,7.5,0.19,1.9,0.076,44,0.9957,0.54,9.7,White,Balanced,5
220,Agiorgitiko,7.8,0.33,2.4,0.08,144,0.99655,0.6,9.5,White,Sweet,5
221,Aglianico,7.8,0.37,2,0.082,58,0.9964,0.59,9.4,White,Sweet,6
222,Verdelho,7.4,0.26,2,0.101,72,0.9957,0.57,9.4,Red,Sweet,5
223,Vermentino,6.8,0.04,1.5,0.057,10,0.99525,0.6,9.5,Port,Bitter,5
224,Gewurztraminer,8.6,0.25,2,0.083,28,0.99815,0.6,10,Red,Balanced,6
225,Primitivo,8.4,0.36,2,0.089,55,0.99745,0.57,10.4,White,Sour,4
226,Blaufrankisch,7.7,0.25,2.6,0.073,63,0.99615,0.58,10.5,Port,Balanced,6
227,Txakolina,8.9,0.5,2,0.337,81,0.9964,1.61,9.5,Red,Sour,6
228,Kerner,9,0.14,2.6,0.089,23,0.9984,0.63,9.8,White,Sweet,5
229,Aligote,7.7,0.25,2.6,0.073,63,0.99615,0.58,10.5,Rose,Sweet,6
230,Baga,6.9,0.25,2.6,0.081,37,0.99685,0.5,11,Red,Balanced,5
231,Xinomavro,5.2,0.04,1.6,0.054,106,0.9927,0.62,12.2,Rose,Earthy,7
232,Negroamaro,8,0.06,1.8,0.078,49,0.99625,0.52,9.9,White,Sour,6
233,Falanghina,8.5,0.2,2.8,0.09,58,0.998,0.7,9.6,Red,Bitter,6
234,Pecorino,6.9,0.25,2.6,0.081,37,0.99685,0.5,11,White,Balanced,5
235,Loureiro,8.2,0.09,2.3,0.065,37,0.99685,0.55,9,Port,Bitter,6
236,Godello,7.2,0,1.9,0.097,38,0.99675,0.58,9,Port,Earthy,6
237,Trebbiano,7.2,0,1.9,0.097,38,0.99675,0.58,9,Rose,Earthy,6
238,Corvina,7.2,0,1.9,0.097,39,0.99675,0.58,9.2,Rose,Sweet,6
239,Cortese,7.2,0,1.9,0.097,38,0.99675,0.58,9,Port,Bitter,6
240,Barolo,8.2,0.09,2.3,0.065,37,0.99685,0.55,9,Port,Sweet,6
241,Barbaresco,8.9,0.37,1.7,0.263,62,0.9971,1.09,9.3,Port,Balanced,5
242,Valpolicella,12,0.56,2.1,0.093,24,0.99925,0.71,10.9,Port,Sour,6
243,Rosso di Montalcino,7.7,0.1,1.8,0.102,109,0.99565,0.49,9.8,Red,Earthy,6
244,Franciacorta,15,0.44,2.2,0.075,24,1.00005,0.84,9.2,White,Earthy,7
245,Chianti,15,0.44,2.2,0.075,24,1.00005,0.84,9.2,Rose,Earthy,7
246,Beaujolais,7.3,0,2,0.084,23,0.9983,0.96,9.9,Rose,Sweet,6
247,Soave,7.1,0.07,1.9,0.075,51,0.99685,0.52,9.5,Red,Bitter,5
248,Orvieto,8.2,0.17,2.3,0.072,73,0.9963,0.45,9.3,Rose,Sweet,5
249,Cote-Rotie,7.7,0.06,1.7,0.074,39,0.99615,0.48,9.8,Rose,Sour,6
250,Chablis,7.3,0,2,0.084,23,0.9983,0.96,9.9,Red,Bitter,6
251,Pouilly-Fuisse,10.8,0.44,1.6,0.063,37,0.9985,0.78,10,Port,Balanced,6
252,Saint-Emilion,7.1,0,1.8,0.074,34,0.9972,0.7,9.9,Rose,Earthy,6
253,Pauillac,11.1,0.48,3.1,0.09,21,0.9986,0.53,10.5,White,Sour,5
254,Margaux,7.7,0.42,1.9,0.092,86,0.9959,0.59,9.5,Port,Earthy,5
255,Graves,7.1,0,1.8,0.074,34,0.9972,0.7,9.9,White,Earthy,6
256,Pomerol,8,0.23,3.2,0.073,119,0.99675,0.57,9.3,Rose,Bitter,5
257,Sauternes,9.4,0.37,2.2,0.075,13,0.998,0.62,9.2,Red,Balanced,5
258,Champagne,6.6,0,2.1,0.075,56,0.9968,0.67,9.2,Rose,Bitter,5
259,Vin Santo,7.7,0.76,1.8,0.611,45,0.9968,1.26,9.4,Rose,Bitter,5
260,Eiswein,10,0.47,2.6,0.085,33,0.99965,0.8,10.5,White,Balanced,7
261,Tokaji,7.9,0.23,1.7,0.077,45,0.99625,0.65,9.3,Red,Bitter,5
262,Chardonnay,7,0.04,2,0.087,67,0.99565,0.6,9.4,Port,Bitter,4
263,Cabernet Sauvignon,8,0.03,1.7,0.07,35,0.99575,0.57,10,Red,Bitter,5
264,Merlot,7.9,0.23,1.8,0.077,49,0.9963,0.67,9.3,Port,Bitter,5
265,Pinot Noir,12.5,0.49,2.4,0.064,27,0.9999,0.87,10.9,Rose,Balanced,5
266,Zinfandel,11.8,0.52,1.8,0.071,10,0.9968,0.72,10.2,White,Earthy,7
267,Sauvignon Blanc,8.1,0,3.3,0.096,61,1.00025,0.72,9.8,Rose,Earthy,4
268,Syrah,7.9,0.46,3.6,0.078,37,0.9973,0.86,12.8,Rose,Sweet,8
269,Malbec,6.9,0.04,3,0.077,27,0.9987,0.91,9.4,White,Sweet,6
270,Riesling,11.5,0.51,4,0.104,23,0.9996,0.97,10.1,Port,Balanced,6
271,Grenache,7.9,0.06,4,0.087,61,0.9965,0.67,10.7,Red,Bitter,6
272,Sangiovese,11.5,0.51,4,0.104,23,0.9996,0.97,10.1,Port,Sweet,6
273,Tempranillo,10.9,0.58,4,0.071,65,0.99935,0.78,10.1,Rose,Bitter,5
274,Moscato,8.4,0.2,2.4,0.076,38,0.99735,0.64,9.4,Red,Balanced,5
275,Chenin Blanc,7.5,0.18,7,0.088,94,0.99915,0.77,9.4,White,Sweet,5
276,Pinot Grigio,7.9,0.06,4,0.087,61,0.9965,0.67,10.7,Rose,Sweet,6
277,Viognier,6.9,0.04,3,0.077,27,0.9987,0.91,9.4,Rose,Balanced,6
278,Nebbiolo,11.5,0.51,4,0.104,23,0.9996,0.97,10.1,White,Balanced,6
279,Barbera,10.3,0.45,6.4,0.073,13,0.9976,0.82,12.6,White,Sweet,8
280,Gamay,8.9,0.32,5.6,0.087,47,0.9991,0.77,10.5,Port,Earthy,7
281,Torrontes,11.4,0.44,3.6,0.071,19,0.9986,0.82,9.3,Red,Sweet,6
282,Gruner Veltliner,7.7,0.68,3.5,0.358,10,0.9972,1.08,9.9,White,Earthy,7
283,Albarino,7.6,0.12,3,0.067,53,0.9971,0.57,9.1,Port,Earthy,5
284,Carmenere,8.9,0.32,5.6,0.087,47,0.9991,0.77,10.5,White,Sweet,7
285,Petit Verdot,9.9,0.07,3.4,0.102,71,1.00015,0.71,9.8,Red,Sour,5
286,Marsanne,9.9,0.07,3.4,0.102,71,1.00015,0.71,9.8,White,Balanced,5
287,Roussanne,12,0.55,2,0.073,49,0.9997,0.76,10.3,White,Balanced,6
288,Tannat,7.5,0.12,3,0.092,53,0.9967,0.7,10.3,Red,Bitter,6
